SelesOrderID|RegisterSessionID|Item Name| quantity|subTotal
subtotal2f40158f-d533-42d8-83de-75f98181fedb|8c81f815-e145-4bc5-974f-8e789763ecc0|bread|1|5.0
7904f404-9462-4c8e-882f-283bdbb97da8|47e1de17-3490-4739-88b3-03ba2a035bda|bread|1|5.0
7904f404-9462-4c8e-882f-283bdbb97da8|47e1de17-3490-4739-88b3-03ba2a035bda|milk|2|5.0
7904f404-9462-4c8e-882f-283bdbb97da8|47e1de17-3490-4739-88b3-03ba2a035bda|bread|1|5.0
bbc46ed0-786c-493c-8dc1-d9b68652852f|d3c75db4-ffa4-4aa8-87ef-8b8170dff6ba|bread|2|10.0
bbc46ed0-786c-493c-8dc1-d9b68652852f|d3c75db4-ffa4-4aa8-87ef-8b8170dff6ba|milk|1|2.5
99b2cce3-9197-43f6-b251-8b110570d801|a036aad4-309c-4381-b470-65d9f02271a9|bread|2|10.0
99b2cce3-9197-43f6-b251-8b110570d801|a036aad4-309c-4381-b470-65d9f02271a9|milk|1|2.5
d4414703-7efe-45fd-8cb8-ce0e9744fd21|30e1aef0-d219-4b3f-b139-d0ea4dcfc290|bread|2|10.0
1234|30e1aef0-d219-4b3f-b139-d0ea4dcfc290|milk|1|2.5
a4a40ced-af0c-4f3f-aa8c-8a6dfe9769b6|27c35966-84be-4b76-9f38-e43451b49a09|bread|2|10.0
a4a40ced-af0c-4f3f-aa8c-8a6dfe9769b6|27c35966-84be-4b76-9f38-e43451b49a09|milk|1|2.5
c043bb98-827d-4999-bdd2-2b18ceae993d|bd91b0de-3fe2-40fb-88d3-dd83cc8ef422|milk|3|7.5
c043bb98-827d-4999-bdd2-2b18ceae993d|bd91b0de-3fe2-40fb-88d3-dd83cc8ef422|cheese|1|2.5
c043bb98-827d-4999-bdd2-2b18ceae993d|bd91b0de-3fe2-40fb-88d3-dd83cc8ef422|cheese|1|2.5
2d110da3-7419-47b6-996a-5371450cf0db|ed629d62-1093-418d-9a40-19edea3826b0|bread|1|5.0
2d110da3-7419-47b6-996a-5371450cf0db|ed629d62-1093-418d-9a40-19edea3826b0|cheese|1|2.5
